ì˙ït,è§ïiID,å⁄ãqID,éxìXID,îÃîÑíPâø,îÃîÑêîó 
2018/1/30,P0023,C0016,B004,23500,11
2018/1/31,P0033,C0010,B002,7700,18
2018/2/1,P0032,C0016,B003,15400,16
2018/2/3,P0005,C0024,B001,1000,15
2018/2/3,P0005,C0020,B003,800,10
2018/2/3,P0032,C0015,B002,20500,8
2018/2/4,P0010,C0017,B005,5500,17
2018/2/4,P0013,C0010,B005,47000,12
2018/2/4,P0024,C0022,B005,41100,4
2018/2/4,P0032,C0017,B005,15300,14
2018/2/4,P0022,C0018,B003,35100,2
2018/2/5,P0004,C0012,B002,18600,17
2018/2/7,P0006,C0025,B004,31900,18
2018/2/8,P0020,C0008,B004,32000,17
2018/2/8,P0026,C0002,B004,49700,18
2018/2/9,P0004,C0015,B004,22400,5
2018/2/9,P0029,C0020,B003,14300,5
2018/2/11,P0009,C0022,B005,18600,17
2018/2/11,P0022,C0008,B003,26600,9
2018/2/13,P0020,C0020,B001,37800,4
2018/2/16,P0029,C0002,B004,14600,9
2018/2/16,P0022,C0008,B002,27500,16
2018/2/17,P0032,C0006,B005,20800,2
2018/2/18,P0033,C0018,B005,7700,3
2018/2/18,P0004,C0030,B001,20100,12
2018/2/20,P0008,C0013,B003,26700,8
2018/2/22,P0026,C0015,B004,47800,4
2018/2/22,P0015,C0027,B004,600,6
2018/2/24,P0006,C0012,B002,37500,2
2018/2/24,P0014,C0002,B002,22100,17
2018/2/24,P0013,C0008,B005,45500,8
2018/2/24,P0015,C0011,B003,700,3
2018/2/27,P0009,C0025,B005,18200,3
2018/2/27,P0001,C0019,B004,8400,7
2018/2/27,P0024,C0007,B005,38600,20
2018/2/27,P0009,C0013,B005,18800,10
2018/3/1,P0036,C0029,B003,21100,1
2018/3/2,P0007,C0009,B005,46700,18
2018/3/4,P0027,C0014,B003,40800,7
2018/3/6,P0016,C0008,B002,20800,5
2018/3/7,P0018,C0020,B003,45800,6
2018/3/7,P0013,C0028,B003,47800,8
2018/3/8,P0007,C0006,B002,53200,5
2018/3/10,P0033,C0020,B002,9100,2
2018/3/11,P0020,C0025,B005,37400,14
2018/3/12,P0015,C0008,B003,700,10
2018/3/14,P0023,C0001,B004,22500,19
2018/3/15,P0007,C0007,B005,64100,18
2018/3/16,P0003,C0022,B002,26300,6
2018/3/17,P0015,C0005,B003,500,6
2018/3/17,P0023,C0028,B003,21800,5
2018/3/17,P0016,C0019,B002,19900,9
2018/3/19,P0020,C0001,B004,39000,17
2018/3/21,P0033,C0013,B003,9800,14
2018/3/21,P0007,C0007,B003,56200,6
2018/3/21,P0010,C0025,B005,5300,6
2018/3/22,P0008,C0020,B004,26200,14
2018/3/23,P0033,C0029,B003,8600,3
2018/3/23,P0003,C0011,B004,24300,5
2018/3/24,P0022,C0001,B004,30600,15
2018/3/25,P0013,C0013,B005,43600,6
2018/3/26,P0031,C0022,B003,16800,6
2018/3/29,P0031,C0023,B005,19600,12
2018/3/29,P0001,C0015,B001,6100,19
